Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Increse production of commodity crops SANMA,Value in Millions (VT),5.209964
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Increse production of commodity crops SHEFA,Value in Millions (VT),5.413724
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin MALAMPA",Value in Millions (VT),2.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin PENAMA",Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin SANMA",Value in Millions (VT),12.692
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin SHEFA",Value in Millions (VT),72.568535
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin TAFEA",Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Support institution capacity, policy, communication,admin TORBA",Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",Portfolio Coordination,Value in Millions (VT),6.111512
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,Climate Change,Value in Millions (VT),13.5455
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,Climate Change Adaptation,Value in Millions (VT),1.271
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,Climate Change Mitigation,Value in Millions (VT),1.470391
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,Energy Management and assessment,Value in Millions (VT),126.813609
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,"Environmental management, research and extension Services",Value in Millions (VT),26.262681
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,Corporate Services,Value in Millions (VT),58.658661
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,National Disaster Management,Value in Millions (VT),18.638911
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,Corporate Services,Value in Millions (VT),10.0
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,Geo-hazard,Value in Millions (VT),1.0
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,"Weather Forecasting, Monitoring and Research",Value in Millions (VT),22.909
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Corporate & Planning Services,Value in Millions (VT),2.010617
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Education Services Directorate,Value in Millions (VT),838.369211
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Excutive Management,Value in Millions (VT),4.88094
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Information & Communication Services,Value in Millions (VT),0.381512
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,Internal & Quality Controls,Value in Millions (VT),2.729518
2021,By Ministry,Budget,Ministry of Education & Training,Education Commissions and Councils,Excutive Management,Value in Millions (VT),101.56137
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Corporate & Planning Services,Value in Millions (VT),8.890219
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Curriculum & Assessment,Value in Millions (VT),52.543578
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Excutive Management,Value in Millions (VT),1.240352
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Grants,Value in Millions (VT),1460.046343
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Provincial Education Offices & Education Authorities,Value in Millions (VT),34.101383
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,School Advisory &  Improvement,Value in Millions (VT),1.943857
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,Teachers,Value in Millions (VT),12.265553
2021,By Ministry,Budget,Ministry of Education & Training,Finance & Administration Directorate,Corporate & Planning Services,Value in Millions (VT),11.062784
2021,By Ministry,Budget,Ministry of Education & Training,Finance & Administration Directorate,Excutive Management,Value in Millions (VT),1.130633
2021,By Ministry,Budget,Ministry of Education & Training,Finance & Administration Directorate,Maintenance & Utilities,Value in Millions (VT),159.933692
2021,By Ministry,Budget,Ministry of Education & Training,MoE Cabinet,Portfolio Management,Value in Millions (VT),10.928562
2021,By Ministry,Budget,Ministry of Education & Training,Policy & Planning Directorate,Corporate & Planning Services,Value in Millions (VT),5.330692
2021,By Ministry,Budget,Ministry of Education & Training,Policy & Planning Directorate,Excutive Management,Value in Millions (VT),1.774066
2021,By Ministry,Budget,Ministry of Education & Training,Policy & Planning Directorate,Information & Communication Services,Value in Millions (VT),1.201948
2021,By Ministry,Budget,Ministry of Education & Training,Tertiary Education Directorate,Corporate & Planning Services,Value in Millions (VT),348.409862
2021,By Ministry,Budget,Ministry of Education & Training,Tertiary Education Directorate,Excutive Management,Value in Millions (VT),2.00881
2021,By Ministry,Budget,Ministry of Education & Training,Tertiary Education Directorate,Grants,Value in Millions (VT),103.72957
2021,By Ministry,Budget,Ministry of Education & Training,Tertiary Education Directorate,Teachers,Value in Millions (VT),190.117821
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Border Control,Value in Millions (VT),17.959743
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Corporate Services,Value in Millions (VT),38.187457
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Customs and Excise Collections,Value in Millions (VT),28.888532
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Information Services,Value in Millions (VT),36.901018
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Investigation and Legal,Value in Millions (VT),1.912993
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Ministry Executive & Internal Audit,Value in Millions (VT),21.548053
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Rates and Taxes Collection,Value in Millions (VT),43.454224
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,VAT Collections,Value in Millions (VT),27.361717
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Central Payments,Value in Millions (VT),1188.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Chamber of Commerce and Industry (CCI),Value in Millions (VT),51.918961
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Corporate Services,Value in Millions (VT),18.891304
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Economic Policy Development,Value in Millions (VT),33.944322
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Former Leaders Payment,Value in Millions (VT),20.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Contributions to International Organisation,Value in Millions (VT),48.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Financial Services,Value in Millions (VT),495.911996
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant SPBEA,Value in Millions (VT),141.003971
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to Vanuatu National Archives,Value in Millions (VT),19.983242
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to VIPA,Value in Millions (VT),49.115761
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Information Services,Value in Millions (VT),54.94645
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Ministry Executive & Internal Audit,Value in Millions (VT),3.594162
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Public Debt Provisions,Value in Millions (VT),4802.613484
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Utility Regulatory Authority,Value in Millions (VT),67.226099
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agricultural Research and Training Centre (VARTC),Value in Millions (VT),194.236591
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agriculture College,Value in Millions (VT),86.325933
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Broadcasting and Television Corporation (VBTC),Value in Millions (VT),95.193317
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Cultural Centre (VCC),Value in Millions (VT),43.402152
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime Administration (VMA),Value in Millions (VT),15.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime College,Value in Millions (VT),53.674434
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Tourism Office (VTO),Value in Millions (VT),325.124942
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,Portfolio Management,Value in Millions (VT),24.969542
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Corporate Services,Value in Millions (VT),113.849139
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Government Financial Services,Value in Millions (VT),8.456194
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,Ministry Executive & Internal Audit,Value in Millions (VT),38.245796
2021,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Corporate Services,Value in Millions (VT),6.214761
2021,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Ministry Executive & Internal Audit,Value in Millions (VT),1.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,"National Statistical Collection, Analysis & Reporting",Value in Millions (VT),1.0
2021,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,Provincial Statistics Offices,Value in Millions (VT),66.223692
2021,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade &  Development,Value in Millions (VT),7.253517
